tweet_id,favorite_count,retweet_count
789986466051088384,9942,2557
789960241177853952,0,4568
789903600034189313,11169,4545
789628658055020548,8079,1966
789599242079838210,7270,2136
789530877013393408,12651,3715
789314372632018944,9249,2538
789280767834746880,0,5455
789268448748703744,9791,2837
789137962068021249,10429,3078
788908386943430656,29437,13643
788765914992902144,29464,11348
788552643979468800,0,7933
788412144018661376,16755,5846
788178268662984705,7773,2334
788150585577050112,6612,1434
788070120937619456,0,3769
788039637453406209,6597,1456
787810552592695296,9318,3360
787717603741622272,10972,3065
787397959788929025,11645,3120
787322443945877504,8365,1918
787111942498508800,0,7387
786963064373534720,28548,8793
786729988674449408,0,2658
786709082849828864,19508,6700
786664955043049472,11446,2824
786595970293370880,10099,3404
786363235746385920,11703,3859
786286427768250368,8562,3148
786233965241827333,16427,5255
786051337297522688,1546,169
786036967502913536,0,7774
785927819176054784,12185,3476
785872687017132033,7174,2008
785639753186217984,8379,2438
785533386513321988,9770,2207
785515384317313025,6538,1382
785264754247995392,7790,1798
785170936622350336,12987,5344
784826020293709826,10872,3550
784517518371221505,9622,2784
784431430411685888,6105,1408
784183165795655680,21572,8862
784057939640352768,32057,12255
783839966405230592,32216,11879
783821107061198850,7885,2152
783695101801398276,11197,3541
783466772167098368,9050,2476
783391753726550016,18072,6055
783347506784731136,0,6150
783334639985389568,31339,12877
783085703974514689,8721,2441
782969140009107456,25828,8079
782747134529531904,8001,1532
782722598790725632,18504,5924
782598640137187329,8322,2056
782305867769217024,17854,6122
782021823840026624,0,6852
781955203444699136,11894,3688
781661882474196992,11183,2974
781655249211752448,4287,1234
781524693396357120,22234,6084
781308096455073793,7631,2791
781251288990355457,9033,2304
781163403222056960,10452,2996
780931614150983680,23166,8052
780858289093574656,7703,2190
780800785462489090,5906,1426
780601303617732608,12926,3650
780543529827336192,6750,1903
780496263422808064,0,4073
780476555013349377,0,128
780459368902959104,5659,1175
780192070812196864,9314,2454
780092040432480260,0,2523
780074436359819264,13104,5475
779834332596887552,20338,7774
779377524342161408,9435,3408
779124354206535695,0,20178
779123168116150273,12631,3987
779056095788752897,15834,4956
778990705243029504,21433,7973
778774459159379968,0,10920
778764940568104960,917,403
778748913645780993,7380,1461
778650543019483137,6178,1632
778624900596654080,4977,1112
778408200802557953,14597,4765
778396591732486144,0,13416
778383385161035776,6239,1208
778286810187399168,11114,3623
778039087836069888,9068,2888
778027034220126208,7004,1776
777953400541634568,0,3859
777885040357281792,6801,1800
777684233540206592,12000,3227
777641927919427584,0,4652
777621514455814149,9377,2729
777189768882946048,15312,4743
776819012571455488,0,15054
776813020089548800,5212,1324
776477788987613185,9451,3066
776249906839351296,0,10010
776218204058357768,32068,17470
776201521193218049,10252,2760
776113305656188928,12555,4760
776088319444877312,1961,166
775898661951791106,0,17963
775842724423557120,12520,2929
775733305207554048,14791,4385
775729183532220416,13808,4989
775364825476165632,7933,3251
775350846108426240,10840,4272
775085132600442880,16595,5167
774757898236878852,9121,1933
774639387460112384,7177,1901
774314403806253056,23232,6100
773985732834758656,11463,4237
773922284943896577,6827,1890
773704687002451968,7047,1784
773670353721753600,5680,1416
773547596996571136,23547,6729
773336787167145985,0,5560
773308824254029826,24784,8162
773247561583001600,10055,3501
773191612633579521,10654,4487
772877495989305348,9150,4225
772826264096874500,8516,2541
772615324260794368,0,3682
772581559778025472,6901,1844
772193107915964416,6407,1508
772152991789019136,4031,1223
772117678702071809,4001,801
772114945936949249,2892,516
772102971039580160,4273,1010
771908950375665664,7014,2066
771770456517009408,12790,3711
771500966810099713,8826,2863
771380798096281600,11222,5560
771171053431250945,0,8248
771136648247640064,9802,3196
771102124360998913,6642,1563
771014301343748096,7328,1803
771004394259247104,0,240
770787852854652928,5288,1331
770772759874076672,5541,1540
770655142660169732,7807,1895
770414278348247044,6709,2247
770293558247038976,6652,1625
770093767776997377,0,3312
770069151037685760,8082,2509
769940425801170949,33520,10521
769695466921623552,6807,1804
769335591808995329,0,8372
769212283578875904,5747,1869
768970937022709760,15352,7127
768909767477751808,0,2943
768855141948723200,4466,968
768609597686943744,4383,1322
768596291618299904,5350,1388
768554158521745409,0,6345
768473857036525572,14530,3727
768193404517830656,11618,3859
767884188863397888,5066,1529
767754930266464257,17077,5864
767500508068192258,7974,2540
767191397493538821,13076,4148
767122157629476866,10787,3106
766864461642756096,0,6156
766793450729734144,5405,1477
766714921925144576,2772,422
766693177336135680,4300,862
766423258543644672,6411,1737
766313316352462849,7217,2044
766078092750233600,0,2828
766069199026450432,4552,937
766008592277377025,3982,536
765719909049503744,7717,2340
765669560888528897,5532,1323
765395769549590528,28089,3690
765371061932261376,7552,2347
765222098633691136,12362,3682
764857477905154048,6839,1925
764259802650378240,6441,1651
763956972077010945,787,59
763837565564780549,13418,4539
763183847194451968,5748,1602
763167063695355904,0,3280
763103485927849985,7825,2480
762699858130116608,12947,3935
762471784394268675,11999,7038
762464539388485633,10983,4568
762316489655476224,5124,1226
762035686371364864,34036,16950
761976711479193600,5743,2196
761750502866649088,0,4280
761745352076779520,4525,935
761672994376806400,52680,31532
